# Timestep 	 RxnID 	 RxnCount 	 FromIDs:ToIDs 	 FromType:ToType 	 FromElem:ToElem 	 Rxn_hashes
3000;	0;	1;	[{485, 487, 488, 492, 493}]:[{485, 487, 488, 492, 493}];	[[1, 1, 1, 1, 5]]:[[1, 1, 1, 1, 5]];	[['C', 'C', 'C', 'C', 'O']]:[['C', 'C', 'C', 'C', 'O']];	4e8fcb9490ea0284a00281beeeb15f3a:7952bbf3db0dc225ec0d92df78b2e8f3
4000;	0;	2;	[{832, 836, 837, 829, 831}]:[{832, 836, 837, 829, 831}];	[[1, 1, 5, 1, 1]]:[[1, 1, 5, 1, 1]];	[['C', 'C', 'O', 'C', 'C']]:[['C', 'C', 'O', 'C', 'C']];	4e8fcb9490ea0284a00281beeeb15f3a:7952bbf3db0dc225ec0d92df78b2e8f3
4000;	0;	3;	[{832, 836, 837, 829, 831}]:[{832, 836, 837, 829, 831}];	[[1, 1, 5, 1, 1]]:[[1, 1, 5, 1, 1]];	[['C', 'C', 'O', 'C', 'C']]:[['C', 'C', 'O', 'C', 'C']];	4e8fcb9490ea0284a00281beeeb15f3a:7952bbf3db0dc225ec0d92df78b2e8f3
4000;	1;	1;	[{485, 487, 488, 492, 493}]:[{485, 487, 488, 492, 493}];	[[1, 1, 1, 1, 5]]:[[1, 1, 1, 1, 5]];	[['C', 'C', 'O', 'C', 'C']]:[['C', 'C', 'O', 'C', 'C']];	7952bbf3db0dc225ec0d92df78b2e8f3:4e8fcb9490ea0284a00281beeeb15f3a
5000;	1;	2;	[{832, 836, 837, 829, 831}]:[{832, 836, 837, 829, 831}];	[[1, 1, 5, 1, 1]]:[[1, 1, 5, 1, 1]];	[['C', 'C', 'O', 'C', 'C']]:[['C', 'C', 'O', 'C', 'C']];	7952bbf3db0dc225ec0d92df78b2e8f3:4e8fcb9490ea0284a00281beeeb15f3a
5000;	1;	3;	[{832, 836, 837, 829, 831}]:[{832, 836, 837, 829, 831}];	[[1, 1, 5, 1, 1]]:[[1, 1, 5, 1, 1]];	[['C', 'C', 'O', 'C', 'C']]:[['C', 'C', 'O', 'C', 'C']];	7952bbf3db0dc225ec0d92df78b2e8f3:4e8fcb9490ea0284a00281beeeb15f3a
5000;	0;	4;	[{589, 591, 592, 596, 597}]:[{589, 591, 592, 596, 597}];	[[1, 1, 1, 1, 5]]:[[1, 1, 1, 1, 5]];	[['C', 'C', 'O', 'C', 'C']]:[['C', 'C', 'O', 'C', 'C']];	4e8fcb9490ea0284a00281beeeb15f3a:7952bbf3db0dc225ec0d92df78b2e8f3
6000;	2;	1;	[{1026, 1027, 1028, 1029}, {866, 868, 869, 860}]:[{1026, 1027, 1028, 868, 1029, 866, 869, 860}];	[[1, 1, 2, 1], [1, 1, 2, 1]]:[[1, 1, 2, 1, 1, 1, 2, 1]];	[['C', 'C', 'H', 'C'], ['C', 'C', 'H', 'C']]:[['C', 'C', 'H', 'C', 'C', 'C', 'H', 'C']];	33e99252c859549eac90512782ecd878:d711bffa0dc7b0e6553c6064af3204c1
6000;	2;	2;	[{1026, 1027, 1028, 1029}, {866, 868, 869, 860}]:[{1026, 1027, 1028, 868, 1029, 866, 869, 860}];	[[1, 1, 2, 1], [1, 1, 2, 1]]:[[1, 1, 2, 1, 1, 1, 2, 1]];	[['C', 'C', 'H', 'C'], ['C', 'C', 'H', 'C']]:[['C', 'C', 'H', 'C', 'C', 'C', 'H', 'C']];	33e99252c859549eac90512782ecd878:d711bffa0dc7b0e6553c6064af3204c1
6000;	1;	4;	[{589, 591, 592, 596, 597}]:[{589, 591, 592, 596, 597}];	[[1, 1, 1, 1, 5]]:[[1, 1, 1, 1, 5]];	[['C', 'C', 'H', 'C'], ['C', 'C', 'H', 'C']]:[['C', 'C', 'H', 'C', 'C', 'C', 'H', 'C']];	7952bbf3db0dc225ec0d92df78b2e8f3:4e8fcb9490ea0284a00281beeeb15f3a
7000;	0;	5;	[{39, 41, 42, 46, 47}]:[{39, 41, 42, 46, 47}];	[[1, 1, 1, 1, 5]]:[[1, 1, 1, 1, 5]];	[['C', 'C', 'C', 'C', 'O']]:[['C', 'C', 'C', 'C', 'O']];	4e8fcb9490ea0284a00281beeeb15f3a:7952bbf3db0dc225ec0d92df78b2e8f3
8000;	3;	1;	[{1026, 1027, 1028, 868, 1029, 866, 869, 860}]:[{1026, 1027, 1028, 1029}, {866, 868, 869, 860}];	[[1, 1, 2, 1, 1, 1, 2, 1]]:[[1, 1, 2, 1], [1, 1, 2, 1]];	[['C', 'C', 'H', 'C', 'C', 'C', 'H', 'C']]:[['C', 'C', 'H', 'C'], ['C', 'C', 'H', 'C']];	d711bffa0dc7b0e6553c6064af3204c1:33e99252c859549eac90512782ecd878
8000;	3;	2;	[{1026, 1027, 1028, 868, 1029, 866, 869, 860}]:[{1026, 1027, 1028, 1029}, {866, 868, 869, 860}];	[[1, 1, 2, 1, 1, 1, 2, 1]]:[[1, 1, 2, 1], [1, 1, 2, 1]];	[['C', 'C', 'H', 'C', 'C', 'C', 'H', 'C']]:[['C', 'C', 'H', 'C'], ['C', 'C', 'H', 'C']];	d711bffa0dc7b0e6553c6064af3204c1:33e99252c859549eac90512782ecd878
8000;	1;	5;	[{39, 41, 42, 46, 47}]:[{39, 41, 42, 46, 47}];	[[1, 1, 1, 1, 5]]:[[1, 1, 1, 1, 5]];	[['C', 'C', 'H', 'C', 'C', 'C', 'H', 'C']]:[['C', 'C', 'H', 'C'], ['C', 'C', 'H', 'C']];	7952bbf3db0dc225ec0d92df78b2e8f3:4e8fcb9490ea0284a00281beeeb15f3a
9000;	0;	6;	[{657, 659, 660, 664, 665}]:[{657, 659, 660, 664, 665}];	[[1, 1, 1, 1, 5]]:[[1, 1, 1, 1, 5]];	[['C', 'C', 'C', 'C', 'O']]:[['C', 'C', 'C', 'C', 'O']];	4e8fcb9490ea0284a00281beeeb15f3a:7952bbf3db0dc225ec0d92df78b2e8f3
10000;	1;	6;	[{657, 659, 660, 664, 665}]:[{657, 659, 660, 664, 665}];	[[1, 1, 1, 1, 5]]:[[1, 1, 1, 1, 5]];	[['C', 'C', 'C', 'C', 'O']]:[['C', 'C', 'C', 'C', 'O']];	7952bbf3db0dc225ec0d92df78b2e8f3:4e8fcb9490ea0284a00281beeeb15f3a
29000;	0;	7;	[{424, 425, 426, 427, 434}]:[{424, 425, 426, 427, 434}];	[[1, 5, 1, 1, 1]]:[[1, 5, 1, 1, 1]];	[['C', 'O', 'C', 'C', 'C']]:[['C', 'O', 'C', 'C', 'C']];	4e8fcb9490ea0284a00281beeeb15f3a:7952bbf3db0dc225ec0d92df78b2e8f3
30000;	1;	7;	[{424, 425, 426, 427, 434}]:[{424, 425, 426, 427, 434}];	[[1, 5, 1, 1, 1]]:[[1, 5, 1, 1, 1]];	[['C', 'O', 'C', 'C', 'C']]:[['C', 'O', 'C', 'C', 'C']];	7952bbf3db0dc225ec0d92df78b2e8f3:4e8fcb9490ea0284a00281beeeb15f3a
43000;	4;	1;	[{1001, 1002}, {1010, 1011, 1012, 1013}]:[{1001, 1002, 1010, 1011, 1012, 1013}];	[[1, 2], [1, 1, 2, 1]]:[[1, 2, 1, 1, 2, 1]];	[['C', 'H'], ['C', 'C', 'H', 'C']]:[['C', 'H', 'C', 'C', 'H', 'C']];	56e32d21349a2f9510a2ec41200c395c:51ffae6e23112bb37d57260394b43a1e
44000;	5;	1;	[{1001, 1002, 1010, 1011, 1012, 1013}]:[{1001, 1002}, {1010, 1011, 1012, 1013}];	[[1, 2, 1, 1, 2, 1]]:[[1, 2], [1, 1, 2, 1]];	[['C', 'H', 'C', 'C', 'H', 'C']]:[['C', 'H'], ['C', 'C', 'H', 'C']];	51ffae6e23112bb37d57260394b43a1e:56e32d21349a2f9510a2ec41200c395c
